2017/04/05 15:38:04 INFO  - jmeter.util.JMeterUtils: Setting Locale to ru_RU 
2017/04/05 15:38:05 ERROR - jmeter.util.JMeterUtils: Could not find resources for 'ru_RU' 
2017/04/05 15:38:05 INFO  - jmeter.JMeter: Loading user properties from: D:\Pavel.Jahont\JMeter\apache-jmeter-3.1\bin\user.properties 
2017/04/05 15:38:05 INFO  - jmeter.JMeter: Loading system properties from: D:\Pavel.Jahont\JMeter\apache-jmeter-3.1\bin\system.properties 
2017/04/05 15:38:05 INFO  - jmeter.JMeter: Copyright (c) 1998-2016 The Apache Software Foundation 
2017/04/05 15:38:05 INFO  - jmeter.JMeter: Version 3.1 r1770033 
2017/04/05 15:38:05 INFO  - jmeter.JMeter: java.version=1.8.0_72 
2017/04/05 15:38:05 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) Client VM 
2017/04/05 15:38:05 INFO  - jmeter.JMeter: os.name=Windows XP 
2017/04/05 15:38:05 INFO  - jmeter.JMeter: os.arch=x86 
2017/04/05 15:38:05 INFO  - jmeter.JMeter: os.version=5.1 
2017/04/05 15:38:05 INFO  - jmeter.JMeter: file.encoding=Cp1251 
2017/04/05 15:38:05 INFO  - jmeter.JMeter: Max memory     =523501568 
2017/04/05 15:38:05 INFO  - jmeter.JMeter: Available Processors =1 
2017/04/05 15:38:05 INFO  - jmeter.JMeter: Default Locale=русский (Россия) 
2017/04/05 15:38:05 INFO  - jmeter.JMeter: JMeter  Locale=русский (Россия) 
2017/04/05 15:38:05 INFO  - jmeter.JMeter: JMeterHome=D:\Pavel.Jahont\JMeter\apache-jmeter-3.1 
2017/04/05 15:38:05 INFO  - jmeter.JMeter: user.dir  =D:\Pavel.Jahont\JMeter\apache-jmeter-3.1\bin 
2017/04/05 15:38:05 INFO  - jmeter.JMeter: PWD       =D:\Pavel.Jahont\JMeter\apache-jmeter-3.1\bin 
2017/04/05 15:38:05 INFO  - jmeter.JMeter: IP: 192.168.0.102 Name: USER-4B17A5787A FullName: USER-4B17A5787A 
2017/04/05 15:38:06 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2017/04/05 15:38:06 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2017/04/05 15:38:09 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2017/04/05 15:38:09 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2017/04/05 15:38:12 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.assertions.BSFAssertion 
2017/04/05 15:38:14 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.extractor.BSFPostProcessor 
2017/04/05 15:38:14 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.modifiers.BSFPreProcessor 
2017/04/05 15:38:15 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/04/05 15:38:15 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/04/05 15:38:15 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/04/05 15:38:15 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/04/05 15:38:15 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2017/04/05 15:38:15 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/css is org.apache.jmeter.protocol.http.parser.CssParser 
2017/04/05 15:38:16 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'keytool' 
2017/04/05 15:38:16 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file D:\Pavel.Jahont\JMeter\apache-jmeter-3.1\bin\proxyserver.jks 
2017/04/05 15:38:16 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.java.sampler.BSFSampler 
2017/04/05 15:38:17 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.mongodb.config.MongoSourceElement 
2017/04/05 15:38:17 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.mongodb.sampler.MongoScriptSampler 
2017/04/05 15:38:18 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.timers.BSFTimer 
2017/04/05 15:38:18 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.visualizers.BSFListener 
2017/04/05 15:38:19 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.visualizers.MonitorHealthVisualizer 
2017/04/05 15:38:19 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2017/04/05 15:38:19 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2017/04/05 15:38:19 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2017/04/05 15:38:19 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2017/04/05 15:40:13 INFO  - jmeter.protocol.http.proxy.ProxyControl: Valid alias found for :root_ca: 
2017/04/05 15:40:13 INFO  - jmeter.protocol.http.proxy.ProxyControl: Valid alias found for :intermediate_ca: 
2017/04/05 15:40:13 INFO  - jmeter.protocol.http.proxy.Daemon: Creating Daemon Socket on port: 8888 
2017/04/05 15:40:13 INFO  - jmeter.protocol.http.proxy.Daemon: Test Script Recorder up and running! 
2017/04/05 15:40:44 INFO  - jmeter.protocol.http.proxy.Proxy: Proxy will remove the headers: If-Modified-Since,If-None-Match,Host 
2017/04/05 15:40:45 INFO  - jmeter.protocol.http.proxy.Proxy: [3778] KeyStore for SSL loaded OK and put host 'portal-xiva.yandex.net' in map with key (portal-xiva.yandex.net) 
2017/04/05 15:40:46 WARN  - jmeter.protocol.http.proxy.Proxy: [3778] Problem with SSL certificate for 'portal-xiva.yandex.net'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
2017/04/05 15:40:46 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2017/04/05 15:41:05 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = USER-4B17A5787A 
2017/04/05 15:41:05 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 0 
2017/04/05 15:41:46 WARN  - jmeter.protocol.http.proxy.Proxy: [3842] Problem with SSL certificate for 'portal-xiva.yandex.net'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2017/04/05 15:42:46 WARN  - jmeter.protocol.http.proxy.Proxy: [3864] Problem with SSL certificate for 'portal-xiva.yandex.net'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2017/04/05 15:43:27 INFO  - jmeter.protocol.http.proxy.Daemon: HTTP(S) Test Script Recorder stopped 
2017/04/05 15:43:35 INFO  - jmeter.protocol.http.proxy.ProxyControl: Valid alias found for :root_ca: 
2017/04/05 15:43:35 INFO  - jmeter.protocol.http.proxy.ProxyControl: Valid alias found for :intermediate_ca: 
2017/04/05 15:43:35 INFO  - jmeter.protocol.http.proxy.Daemon: Creating Daemon Socket on port: 8888 
2017/04/05 15:43:35 INFO  - jmeter.protocol.http.proxy.Daemon: Test Script Recorder up and running! 
